depth,density,mag_suscep,scaler_tmi,total_gamma,caliper,lithology
234,,1.321,,,,polymict lithic breccia
234.5,2.107,1.312,,,,polymict lithic breccia
235,2.132,1.321,,,,polymict lithic breccia
235.5,2.156,1.33,,,,polymict lithic breccia
236,2.169,1.34,,,,polymict lithic breccia
236.5,2.183,1.349,,,,polymict lithic breccia
237,2.253,1.358,39.776,,,polymict lithic breccia
237.5,2.337,1.355,-58.922,,,polymict lithic breccia
238,2.41,1.352,-157.619,,,suevite
238.5,2.423,1.313,-118.48,,,suevite
239,2.437,1.292,-79.342,,,suevite
239.5,2.451,1.271,-40.203,,,suevite
240,2.419,1.236,-1.064,46.861,103.956,suevite
240.5,2.388,1.223,-96.359,48.504,104.142,polymict lithic breccia
241,2.356,1.21,-191.653,50.147,104.328,polymict lithic breccia
241.5,2.308,1.197,-259.72,53.915,104.603,polymict lithic breccia
242,2.285,1.191,-327.787,56.253,104.877,polymict lithic breccia
242.5,2.263,1.185,-395.854,58.591,105.152,polymict lithic breccia
243,2.246,1.179,-282.409,58.313,105.331,polymict lithic breccia
243.5,2.23,1.195,-168.964,58.035,105.51,polymict lithic breccia
244,2.2,1.211,-55.518,56.487,105.689,polymict lithic breccia
244.5,2.146,1.253,101.036,54.938,105.649,polymict lithic breccia
245,2.13,1.276,257.591,51.844,105.609,polymict lithic breccia
245.5,2.114,1.3,376.709,51.523,105.568,polymict lithic breccia
246,2.057,1.319,495.826,51.202,105.377,polymict lithic breccia
246.5,2.046,1.338,468.599,50.881,105.186,polymict lithic breccia
247,2.034,1.347,441.373,50.616,104.995,polymict lithic breccia
247.5,2.023,1.356,414.146,50.351,105.083,polymict lithic breccia
248,2.027,1.337,385.217,50.086,105.17,polymict lithic breccia
248.5,2.031,1.319,356.289,49.965,105.258,polymict lithic breccia
249,2.035,1.289,327.36,49.844,105.597,polymict lithic breccia
249.5,2.055,1.266,298.431,49.723,105.935,polymict lithic breccia
250,2.075,1.244,293.894,50.194,106.274,polymict lithic breccia
250.5,2.095,1.248,289.356,50.664,106.193,polymict lithic breccia
251,2.115,1.252,284.818,51.135,106.111,polymict lithic breccia
